TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;Betriebs_km;vT_MobisSo;vT_W;vT_U;vT_S;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_Kfz_W_Q;DTV_Kfz_W_Ri1;DTV_Kfz_W_Ri2;DTV_Kfz_U_Q;DTV_Kfz_U_Ri1;DTV_Kfz_U_Ri2;DTV_Kfz_S_Q;DTV_Kfz_S_Ri1;DTV_Kfz_S_Ri2;Entw_Kfz_MobisSo_Q;Entw_Kfz_W_Q;Entw_Kfz_U_Q;Entw_Kfz_S_Q;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;DTV_SV_W_Q;DTV_SV_W_Ri1;DTV_SV_W_Ri2;DTV_SV_U_Q;DTV_SV_U_Ri1;DTV_SV_U_Ri2;DTV_SV_S_Q;DTV_SV_S_Ri1;DTV_SV_S_Ri2;Entw_SV_MobisSo_Q;Entw_SV_W_Q;Entw_SV_U_Q;Entw_SV_S_Q;pSV_MobisSo_Q;pSV_W_Q;pSV_U_Q;pSV_S_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;MSV30_Kfz_MobisSo_Q;MSV30_Kfz_W_Q;MSV30_Kfz_U_Q;MSV30_Kfz_S_Q;MSV30maxRi_Kfz_MobisSo;MSV30maxRi_Kfz_W;MSV30maxRi_Kfz_U;MSV30maxRi_Kfz_S;pMSV30maxRi_Kfz_MobisSo;pMSV30maxRi_Kfz_W;pMSV30maxRi_Kfz_U;pMSV30maxRi_Kfz_S;Ri_MSV30maxRi_Kfz_MobisSo;Ri_MSV30maxRi_Kfz_W;Ri_MSV30maxRi_Kfz_U;Ri_MSV30maxRi_Kfz_S;DL_Q;DL_Ri1;DL_Ri2;JG;WG_Ri1;WG_Ri2;TG_Mo_Ri1;TGMax1_Mo_Ri1;TGMax2_Mo_Ri1;TG_Mo_Ri2;TGMax1_Mo_Ri2;TGMax2_Mo_Ri2;TG_DiMiDo_Ri1;TGMax1_DiMiDo_Ri1;TGMax2_DiMiDo_Ri1;TG_DiMiDo_Ri2;TGMax1_DiMiDo_Ri2;TGMax2_DiMiDo_Ri2;TG_Fr_Ri1;TGMax1_Fr_Ri1;TGMax2_Fr_Ri1;TG_Fr_Ri2;TGMax1_Fr_Ri2;TGMax2_Fr_Ri2;TG_Sa_Ri1;TGMax1_Sa_Ri1;TGMax2_Sa_Ri1;TG_Sa_Ri2;TGMax1_Sa_Ri2;TGMax2_Sa_Ri2;TG_SoFei_Ri1;TGMax1_SoFei_Ri1;TGMax2_SoFei_Ri1;TG_SoFei_Ri2;TGMax1_SoFei_Ri2;TGMax2_SoFei_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;pPLZ_W_Q;pLfw_W_Q;pMot_W_Q;pPmA_W_Q;pLoA_W_Q;pLzg_W_Q;pSat_W_Q;pBus_W_Q;pSon_W_Q;pPLZ_U_Q;pLfw_U_Q;pMot_U_Q;pPmA_U_Q;pLoA_U_Q;pLzg_U_Q;pSat_U_Q;pBus_U_Q;pSon_U_Q;pPLZ_S_Q;pLfw_S_Q;pMot_S_Q;pPmA_S_Q;pLoA_S_Q;pLzg_S_Q;pSat_S_Q;pBus_S_Q;pSon_S_Q;Koor_UTM32_E;Koor_UTM32_N;DTV_Kfz_WU_MobisFr_Q;DTV_Kfz_WU_MobisFr_Ri1;DTV_Kfz_WU_MobisFr_Ri2;DTV_SV_WU_MobisFr_Q;DTV_SV_WU_MobisFr_Ri1;DTV_SV_WU_MobisFr_Ri2;DTV_Kfz_WU_Sa_Q;DTV_Kfz_WU_Sa_Ri1;DTV_Kfz_WU_Sa_Ri2;DTV_SV_WU_Sa_Q;DTV_SV_WU_Sa_Ri1;DTV_SV_WU_Sa_Ri2;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;MSV30_Kfz_W_Ri1;MSV30_Kfz_W_Ri2;MSV30_Kfz_U_Ri1;MSV30_Kfz_U_Ri2;MSV30_Kfz_S_Ri1;MSV30_Kfz_S_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;bSV30_W_Ri1;bSV30_W_Ri2;bSV30_U_Ri1;bSV30_U_Ri2;bSV30_S_Ri1;bSV30_S_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;DTV_SV_W_MobisFr_Q;DTV_SV_W_MobisFr_Ri1;DTV_SV_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_D;Q_L1_D;Q_L2_D;Q_K_D;Q_P_E;Q_L1_E;Q_L2_E;Q_K_E;Q_P_N;Q_L1_N;Q_L2_N;Q_K_N;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Anmerkungen;
2426;2218;AD HH-Südost (O);2;HH;A;1;;2;Lübeck;AS Hamburg-Moorfleet;N;Hamburg;AD Dreieck Hamburg-Südost (A25);S;6;149,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;572.102;5.929.284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,50754848;10,08718293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;530;2426012O2426019O;0,397;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
2426;2217;AD HH-Südost (W);2;HH;A;1;;8+1;Lübeck;AD Dreieck Hamburg-Südost (A25);N;Hamburg;AK Kreuz Hamburg-Süd (A255);S;8;150,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;569.966;5.929.459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,50941419;10,05502803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;520;2426019O2426001O;0,477;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
4908;5675;AK Leverkusen (O);5;NW;A;1;;8+1;Dortmund;AS Burscheid;N;Köln;AK Kreuz Leverkusen (A3);S;6;402,2;77;52;12;13;70.378;37.205;33.173;72.954;38.876;34.078;70.594;37.068;33.526;60.755;31.314;29.441;-14,2;-12,9;-13,9;-19,6;8.625;4.578;4.047;10.346;5.513;4.833;9.078;4.775;4.303;1.804;934;870;-1,0;-1,4;+1,5;-12,9;12,3;14,2;12,9;3,0;0,97;0,97;1,08;3.945;10,7;907;26,0;4.246;11,2;3.045;8,5;;;;;;;;;;;;;;;;;;D;D;C;D;D;E;17;;C;;;E;17;;C;;;E;16;;C;;;D;14;;D;15;;C;13;;D;18;;86,6;8,4;0,5;1,0;3,3;8,9;6,8;0,1;0,2;84,7;9,0;0,4;1,0;3,7;10,4;7,9;0,1;0,2;85,9;8,6;0,5;1,1;3,5;9,3;7,0;0,1;0,2;95,8;5,8;1,1;1,1;1,2;1,7;1,4;0,1;0,1;364.845;5.658.635;73.675;39.274;34.401;11.292;6.007;5.285;65.563;34.000;31.563;3.538;1.841;1.697;;;;;;;;;;;;;;;;;74.278;39.703;34.575;11.511;6.138;5.374;15,5;15,5;15,5;51,06330659;7,07118583;3.875;3.161;10,4;9,5;7,6;2,0;5,7;0,7;9,8;9,1;44.316;38.841;1,01;0,91;0,96;0,96;1,11;1,05;0,94;0,96;3.746;145;331;24;2.771;64;193;16;668;45;190;3;260;4908018A4908083A;5,101;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
4908;5035;AK Leverkusen (W);5;NW;A;1;;8+1;Dortmund;AK Kreuz Leverkusen (A3);N;Köln;AK Kreuz Leverkusen-West (A59);S;6;403,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;358.801;5.655.933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,03757536;6,98603730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;4907071A4908018A;1,613;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
6507;0353;AS Eppelborn;10;SL;A;1;;8+1;Köln;AS Tholey;N;Saarbrücken;AS Eppelborn;S;5;185,2;2;2;0;0;19.214;9.639;9.576;20.857;10.502;10.355;19.514;9.760;9.754;13.102;6.474;6.629;-14,9;-14,2;-13,1;-21,7;2.168;1.076;1.092;2.703;1.346;1.357;2.216;1.099;1.117;244;106;138;-8,9;-9,0;-8,4;-15,9;11,3;13,0;11,4;1,9;0,94;0,69;1,08;1.101;10,7;200;17,4;1.238;11,5;690;6,7;;;;;;;;;;;;;;;;;;E;C;C;B;B;E;17;;B;8;;E;17;;B;8;;E;17;;B;8;;C;11;14;A;;;B;12;;D;18;;86,4;7,8;0,7;1,1;3,4;7,7;5,7;0,1;1,2;84,8;8,3;0,6;1,0;3,8;9,0;6,6;0,1;1,2;86,2;8,2;0,7;1,2;3,4;7,8;5,7;0,1;1,2;95,9;4,7;1,0;1,3;1,0;0,7;0,5;0,1;0,9;353.633;5.475.577;21.612;10.869;10.744;2.933;1.470;1.463;14.640;7.330;7.310;674;279;395;;;;;;;;;;;;;;;;;21.898;11.033;10.865;3.034;1.521;1.513;13,9;13,8;13,9;49,41525237;6,98198701;1.228;1.048;12,7;10,9;6,6;10,5;4,6;7,7;11,1;9,6;12.194;11.705;0,67;0,70;0,97;0,95;1,09;1,08;0,74;0,73;1.088;48;94;9;638;10;36;5;164;8;27;1;80;6507026O6507012O;5,486;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
4111;5121;Ascheberg;5;NW;A;1;;8+1;Münster;AS Münster-Hiltrup;N;Dortmund;AS Ascheberg;S;4;288,5;149;99;26;24;56.766;28.613;28.154;58.748;29.763;28.984;58.698;29.352;29.346;47.116;23.494;23.622;-14,8;-13,3;-13,8;-22,6;9.569;4.754;4.815;11.634;5.790;5.844;9.807;4.865;4.942;1.773;854;919;-0,4;-0,1;-0,8;-10,5;16,9;19,8;16,7;3,8;1,00;0,96;1,10;3.200;14,5;696;38,3;3.507;15,0;2.279;12,2;;;;;;;;;;;;;;;;;;D;D;E;D;D;G;8;;D;8;17;D;8;18;D;8;17;C;;;C;;;B;11;;D;16;;B;14;;C;14;;79,9;7,5;0,2;1,7;3,4;13,3;10,2;0,1;1,5;77,2;7,8;0,2;1,6;3,9;15,8;12,0;0,1;1,5;79,7;7,9;0,3;2,0;3,4;13,2;10,0;0,1;1,6;92,7;5,4;0,4;1,8;1,3;2,3;2,0;0,1;1,7;403.168;5.743.440;60.323;30.455;29.868;12.662;6.271;6.391;50.668;25.602;25.066;3.522;1.883;1.639;;;;;;;;;;;;;;;;;60.430;30.617;29.813;13.010;6.451;6.559;21,5;21,1;22,0;51,83337406;7,59466706;2.829;2.845;9,9;10,1;12,3;2,4;8,9;1,1;9,2;9,5;34.878;34.023;0,98;0,94;0,99;0,98;1,11;1,10;0,93;0,94;2.971;123;404;9;1.996;55;223;5;429;38;229;1;340;4211021O4111030O;5,015;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
2228;1101;Bad Oldesloe;1;SH;A;1;;8+1;Lübeck;AS Reinfeld;N;Hamburg;AS Bad Oldesloe;S;6;38,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;594.121;5.961.309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,79184164;10,42880292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;570;2228003O2129001O;1,083;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
2130;1108;Bad Schwartau;1;SH;A;1;;8+1;Oldenburg i.H.;AS Bad Schwartau;N;Lübeck;AS Lübeck-Zentrum;S;6;58,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;609.762;5.972.762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,89167750;10,67022940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;590;2129003O2030001O;1,269;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
2427;1102;Barsbüttel;1;SH;A;1;;8+1;Lübeck;AS Barsbüttel;N;Hamburg;AK Kreuz Hamburg-Ost (A24);S;7;7,5;315;187;73;55;78.291;39.783;38.508;83.552;42.980;40.572;79.369;40.896;38.473;58.098;26.898;31.200;-13,1;-9,6;-16,1;-23,3;11.732;6.304;5.428;14.340;7.697;6.643;11.946;6.472;5.475;2.147;1.114;1.033;-2,2;-0,8;-5,4;-7,9;15,0;17,2;15,1;3,7;0,95;0,83;1,05;4.412;13,3;963;30,4;4.860;14,0;3.067;10,1;;;;;;;;;;;;;;;;;;D;C;C;B;D;C;;;G;8;;C;;;B;8;;C;;;C;;;C;11;14;B;12;;B;11;;B;11;;81,2;9,2;0,3;1,4;2,9;11,8;10,1;0,2;2,5;79,2;9,7;0,3;1,2;3,3;13,6;11,5;0,2;2,5;80,9;9,4;0,4;1,6;3,0;11,8;10,1;0,2;2,5;92,2;6,2;0,5;1,8;0,7;2,9;2,6;0,2;2,3;578.185;5.935.581;85.333;43.912;41.421;15.231;8.109;7.122;67.198;34.598;32.599;5.651;3.477;2.174;;;;;;;;;;;;;;;;;86.436;44.456;41.980;15.722;8.362;7.361;18,2;18,8;17,5;53,56327624;10,18046539;4.247;3.938;10,7;10,2;8,8;9,1;6,8;6,8;9,6;9,4;46.904;46.979;0,79;0,87;0,95;0,97;1,09;1,01;0,92;0,91;4.165;156;524;16;2.747;43;265;11;668;52;241;2;560;2426101O2427132O;1,330;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
6307;0173;Bierfeld;10;SL;A;1;;8+1;Köln;AS Nonnweiler-Bierfeld;N;Saarbrücken;AD Dreieck Nonnweiler (A62);S;4;160,6;164;112;24;28;22.028;11.079;10.949;23.342;11.756;11.586;22.273;11.249;11.023;17.137;8.501;8.636;-18,8;-16,8;-18,6;-27,7;3.558;1.863;1.695;4.396;2.301;2.095;3.683;1.938;1.745;479;240;239;-7,9;-7,9;-6,5;-22,5;16,2;18,8;16,5;2,8;0,95;0,85;1,17;1.268;15,1;217;28,3;1.411;16,1;839;10,3;;;;;;;;;;;;;;;;;;C;C;C;C;D;B;8;;D;9;17;D;8;17;D;9;17;D;11;15;E;16;;C;11;13;D;12;;D;18;;D;18;;80,9;8,5;1,1;1,5;3,9;12,1;9,2;0,1;1,4;78,3;8,9;1,1;1,4;4,4;14,2;10,8;0,2;1,5;80,4;9,0;1,1;1,6;4,0;12,4;9,4;0,1;1,5;94,1;5,7;1,5;1,9;1,4;1,3;1,0;0,1;1,2;352.990;5.496.258;23.877;12.047;11.830;4.777;2.504;2.272;18.732;9.378;9.355;1.201;623;577;;;;;;;;;;;;;;;;;24.121;12.157;11.964;4.917;2.575;2.342;20,4;21,2;19,6;49,60100133;6,96542469;1.194;1.206;10,8;11,0;14,0;8,4;10,4;6,0;9,8;10,1;13.825;13.009;0,83;0,88;0,99;0,99;1,19;1,15;0,89;0,91;1.168;61;165;17;743;17;70;9;154;12;50;2;120;6307405O6407086O;0,752;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
